date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2017-04-06,1,1,-437.0,-437.0,Bitcoin
2017-04-12,1,1,437.0,437.0,Bitcoin
2017-04-13,1,1,-451.0,-451.0,Bitcoin
2017-04-14,6,2,-129.83333333333334,-779.0,Bitcoin
2017-04-15,1,1,108.0,108.0,Bitcoin
2017-04-16,1,1,5.0,5.0,Bitcoin
2017-04-22,2,2,-309.5,-619.0,Bitcoin
2017-04-23,4,1,52.25,209.0,Bitcoin
2017-04-24,6,2,-402.3333333333333,-2414.0,Bitcoin
2017-04-25,11,4,-7.7272727272727275,-85.0,Bitcoin
2017-04-27,1,1,-25.0,-25.0,Bitcoin
2017-04-28,3,3,-1063.3333333333333,-3190.0,Bitcoin
2017-04-29,3,1,-4.333333333333333,-13.0,Bitcoin
2017-05-01,1,1,2883.0,2883.0,Bitcoin
2017-05-02,1,1,-13.0,-13.0,Bitcoin
2017-05-04,2,1,1978.0,3956.0,Bitcoin
2017-05-08,1,1,-152.0,-152.0,Bitcoin
2017-05-13,10,7,12.1,121.0,Bitcoin
2017-05-14,4,3,595.5,2382.0,Bitcoin
2017-05-15,27,6,26.296296296296298,710.0,Bitcoin
2017-05-16,33,7,682.2424242424242,22514.0,Bitcoin
2017-05-17,17,8,1683.235294117647,28615.0,Bitcoin
2017-05-18,8,3,8.875,71.0,Bitcoin
2017-05-19,3,3,10.0,30.0,Bitcoin
2017-05-20,13,10,-10.23076923076923,-133.0,Bitcoin
2017-05-21,5,4,36.8,184.0,Bitcoin
2017-05-22,8,1,-77.75,-622.0,Bitcoin
2017-05-23,1,1,-4.0,-4.0,Bitcoin
2017-05-25,15,4,1972.4,29586.0,Bitcoin
2017-05-26,18,9,333.1111111111111,5996.0,Bitcoin
2017-05-27,13,2,514.9230769230769,6694.0,Bitcoin
2017-05-28,8,3,102.375,819.0,Bitcoin
2017-05-29,2,1,8.0,16.0,Bitcoin
2017-05-30,5,3,-78.0,-390.0,Bitcoin
2017-05-31,4,3,67.25,269.0,Bitcoin
2017-06-01,5,5,-12.6,-63.0,Bitcoin
2017-06-02,3,3,17.333333333333332,52.0,Bitcoin
2017-06-04,13,5,77.07692307692308,1002.0,Bitcoin
2017-06-05,9,6,2.2222222222222223,20.0,Bitcoin
2017-06-06,4,4,-10.0,-40.0,Bitcoin
2017-06-07,4,3,-410.5,-1642.0,Bitcoin
2017-06-08,13,3,82.38461538461539,1071.0,Bitcoin
2017-06-10,4,3,64.5,258.0,Bitcoin
2017-06-11,5,3,-8.4,-42.0,Bitcoin
2017-06-12,2,2,-1.0,-2.0,Bitcoin
2017-06-13,4,3,92.75,371.0,Bitcoin
2017-06-14,2,2,-231.5,-463.0,Bitcoin
2017-06-15,10,5,-28.5,-285.0,Bitcoin
2017-06-17,4,3,78.0,312.0,Bitcoin
2017-06-18,2,2,-12.5,-25.0,Bitcoin
2017-06-20,1,1,-18.0,-18.0,Bitcoin
2017-06-21,16,7,43.25,692.0,Bitcoin
2017-06-22,28,9,-23.178571428571427,-649.0,Bitcoin
2017-06-23,2,1,0.0,0.0,Bitcoin
2017-06-24,1,1,-2.0,-2.0,Bitcoin
2017-06-25,3,3,-1.3333333333333333,-4.0,Bitcoin
2017-06-27,5,3,-185.4,-927.0,Bitcoin
2017-06-29,15,4,37.46666666666667,562.0,Bitcoin
2017-06-30,1,1,-753.0,-753.0,Bitcoin
2017-07-02,7,5,-5.0,-35.0,Bitcoin
2017-07-03,2,2,-554.0,-1108.0,Bitcoin
2017-07-04,8,5,146.125,1169.0,Bitcoin
2017-07-05,1,1,-4.0,-4.0,Bitcoin
2017-07-06,5,3,-6.6,-33.0,Bitcoin
2017-07-07,3,3,0.6666666666666666,2.0,Bitcoin
2017-07-09,2,2,1089.5,2179.0,Bitcoin
2017-07-11,4,4,-538.25,-2153.0,Bitcoin
2017-07-12,5,4,-183.4,-917.0,Bitcoin
2017-07-13,5,4,182.6,913.0,Bitcoin
2017-07-15,5,3,-13.2,-66.0,Bitcoin
2017-07-16,1,1,-422.0,-422.0,Bitcoin
2017-07-17,9,7,106.66666666666667,960.0,Bitcoin
2017-07-18,9,6,45.111111111111114,406.0,Bitcoin
2017-07-19,4,3,-39.25,-157.0,Bitcoin
2017-07-20,4,4,-114.25,-457.0,Bitcoin
2017-07-21,8,4,-4.25,-34.0,Bitcoin
2017-07-23,7,4,-2.4285714285714284,-17.0,Bitcoin
2017-07-24,2,2,10.0,20.0,Bitcoin
2017-07-25,1,1,-4.0,-4.0,Bitcoin
2017-07-29,5,4,-13.6,-68.0,Bitcoin
2017-07-31,1,1,-8.0,-8.0,Bitcoin
2017-08-01,5,5,19.6,98.0,Bitcoin
2017-08-02,15,8,603.0,9045.0,Bitcoin
2017-08-03,5,3,-139.4,-697.0,Bitcoin
2017-08-04,6,5,-39.0,-234.0,Bitcoin
2017-08-05,9,3,109.66666666666667,987.0,Bitcoin
2017-08-06,1,1,16.0,16.0,Bitcoin
2017-08-07,1,1,0.0,0.0,Bitcoin
2017-08-08,3,1,-24.666666666666668,-74.0,Bitcoin
