date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2009-11-02,1,1,-17.0,-17.0,Ukraine
2009-11-09,1,1,7.0,7.0,Ukraine
2009-11-13,4,1,-109.25,-437.0,Ukraine
2009-11-15,1,1,-194.0,-194.0,Ukraine
2009-11-17,1,1,4.0,4.0,Ukraine
2009-11-20,1,1,-256.0,-256.0,Ukraine
2009-11-21,1,1,-16.0,-16.0,Ukraine
2009-11-23,2,2,4.5,9.0,Ukraine
2009-11-24,1,1,-28.0,-28.0,Ukraine
2009-11-25,2,2,-492.5,-985.0,Ukraine
2009-11-26,1,1,-489.0,-489.0,Ukraine
2009-11-27,3,3,11.666666666666666,35.0,Ukraine
2009-12-01,1,1,-80.0,-80.0,Ukraine
2009-12-06,2,2,34.5,69.0,Ukraine
2009-12-07,1,1,101.0,101.0,Ukraine
2009-12-11,2,2,-71.0,-142.0,Ukraine
2009-12-15,1,1,14.0,14.0,Ukraine
2009-12-17,1,1,-433.0,-433.0,Ukraine
2009-12-19,7,3,61.857142857142854,433.0,Ukraine
2009-12-20,1,1,-5.0,-5.0,Ukraine
2009-12-21,3,3,-6.0,-18.0,Ukraine
2009-12-22,1,1,12.0,12.0,Ukraine
2009-12-27,1,1,20.0,20.0,Ukraine
2009-12-28,1,1,-17.0,-17.0,Ukraine
2010-01-02,2,2,-14.5,-29.0,Ukraine
2010-01-03,1,1,39.0,39.0,Ukraine
2010-01-08,1,1,-556.0,-556.0,Ukraine
2010-01-11,3,1,-220.0,-660.0,Ukraine
2010-01-12,1,1,0.0,0.0,Ukraine
2010-01-15,6,3,-12.833333333333334,-77.0,Ukraine
2010-01-16,1,1,-16.0,-16.0,Ukraine
2010-01-18,1,1,-133.0,-133.0,Ukraine
2010-01-22,3,3,28.333333333333332,85.0,Ukraine
2010-01-23,1,1,14.0,14.0,Ukraine
2010-01-30,1,1,-8.0,-8.0,Ukraine
2010-01-31,1,1,16.0,16.0,Ukraine
2010-02-01,9,5,13.777777777777779,124.0,Ukraine
2010-02-02,2,2,33.0,66.0,Ukraine
2010-02-03,1,1,150.0,150.0,Ukraine
2010-02-05,1,1,6.0,6.0,Ukraine
2010-02-06,1,1,3.0,3.0,Ukraine
2010-02-07,1,1,-627.0,-627.0,Ukraine
2010-02-09,1,1,-146.0,-146.0,Ukraine
2010-02-10,7,3,-34.285714285714285,-240.0,Ukraine
2010-02-11,1,1,140.0,140.0,Ukraine
2010-02-12,3,3,-46.333333333333336,-139.0,Ukraine
2010-02-15,3,3,-5.0,-15.0,Ukraine
2010-02-16,1,1,-139.0,-139.0,Ukraine
2010-02-17,4,3,-55.5,-222.0,Ukraine
2010-02-18,1,1,3.0,3.0,Ukraine
2010-02-20,2,2,60.0,120.0,Ukraine
2010-02-24,1,1,129.0,129.0,Ukraine
2010-02-25,1,1,-75.0,-75.0,Ukraine
2010-02-26,6,2,1.0,6.0,Ukraine
2010-02-27,4,2,43.25,173.0,Ukraine
2010-02-28,2,1,-318.0,-636.0,Ukraine
2010-03-01,1,1,-11.0,-11.0,Ukraine
2010-03-02,2,2,-21.5,-43.0,Ukraine
2010-03-03,2,1,-0.5,-1.0,Ukraine
2010-03-07,3,3,145.33333333333334,436.0,Ukraine
2010-03-11,2,2,111.0,222.0,Ukraine
2010-03-15,1,1,28.0,28.0,Ukraine
2010-03-16,3,3,-21.333333333333332,-64.0,Ukraine
2010-03-17,1,1,-7.0,-7.0,Ukraine
2010-03-18,3,2,-5.333333333333333,-16.0,Ukraine
