topic,event,event_date,lag_days,correlation,p_value,significant,interpretation,severity
Taylor_Swift,Grammy win,2024-02-04,-5,0.12728409374884636,0.5186354836740302,False,Not significant,medium
Taylor_Swift,Grammy win,2024-02-04,-4,-0.03656528169863159,0.8506326959396586,False,Not significant,medium
Taylor_Swift,Grammy win,2024-02-04,-3,0.0667787162625083,0.72587942625121,False,Not significant,medium
Taylor_Swift,Grammy win,2024-02-04,-2,0.2338299122691258,0.20549607994358252,False,Not significant,medium
Taylor_Swift,Grammy win,2024-02-04,-1,0.908591980629686,6.668492802841591e-13,True,Edits spike 1 days BEFORE event (anticipation),medium
Taylor_Swift,Grammy win,2024-02-04,0,-0.029980988501337263,0.8684529630016987,False,Not significant,medium
Taylor_Swift,Grammy win,2024-02-04,1,0.908591980629686,6.668492802841591e-13,True,Edits spike 1 days AFTER event (reaction),medium
Taylor_Swift,Grammy win,2024-02-04,2,0.2338299122691258,0.20549607994358252,False,Not significant,medium
Taylor_Swift,Grammy win,2024-02-04,3,0.0667787162625083,0.72587942625121,False,Not significant,medium
Taylor_Swift,Grammy win,2024-02-04,4,-0.03656528169863159,0.8506326959396586,False,Not significant,medium
Taylor_Swift,Grammy win,2024-02-04,5,0.12728409374884636,0.5186354836740302,False,Not significant,medium
Bitcoin,Coinbase IPO,2021-04-14,-5,,,False,Negative correlation (edits decrease around event),medium
Bitcoin,Coinbase IPO,2021-04-14,-4,,,False,Negative correlation (edits decrease around event),medium
Bitcoin,Coinbase IPO,2021-04-14,-3,0.7845877194088856,0.00019197929453591971,True,Edits spike 3 days BEFORE event (anticipation),medium
Bitcoin,Coinbase IPO,2021-04-14,-2,0.026356340805554435,0.9173200718876682,False,Not significant,medium
Bitcoin,Coinbase IPO,2021-04-14,-1,-0.15275570229717964,0.5324146008891649,False,Not significant,medium
Bitcoin,Coinbase IPO,2021-04-14,0,-0.14935670118750316,0.5296922127413137,False,Not significant,medium
Bitcoin,Coinbase IPO,2021-04-14,1,-0.15275570229717964,0.5324146008891649,False,Not significant,medium
Bitcoin,Coinbase IPO,2021-04-14,2,0.026356340805554435,0.9173200718876682,False,Not significant,medium
Bitcoin,Coinbase IPO,2021-04-14,3,0.7845877194088856,0.00019197929453591971,True,Edits spike 3 days AFTER event (reaction),medium
Bitcoin,Coinbase IPO,2021-04-14,4,,,False,Negative correlation (edits decrease around event),medium
Bitcoin,Coinbase IPO,2021-04-14,5,,,False,Negative correlation (edits decrease around event),medium
Bitcoin,All-time high $69k,2021-11-10,-5,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,-4,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,-3,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,-2,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,-1,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,0,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,1,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,2,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,3,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,4,,,False,Negative correlation (edits decrease around event),high
Bitcoin,All-time high $69k,2021-11-10,5,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,-5,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,-4,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,-3,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,-2,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,-1,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,0,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,1,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,2,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,3,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,4,,,False,Negative correlation (edits decrease around event),high
Bitcoin,FTX collapse,2022-11-11,5,,,False,Negative correlation (edits decrease around event),high
Ukraine,Russian invasion begins,2022-02-24,-5,0.09307756625182766,0.6963130835801654,False,Not significant,high
Ukraine,Russian invasion begins,2022-02-24,-4,0.006520044632031621,0.9776229232673072,False,Not significant,high
Ukraine,Russian invasion begins,2022-02-24,-3,0.015269495105603586,0.9462288162566808,False,Not significant,high
Ukraine,Russian invasion begins,2022-02-24,-2,0.4862598051770691,0.018639211430971997,True,Edits spike 2 days BEFORE event (anticipation),high
Ukraine,Russian invasion begins,2022-02-24,-1,0.3559226410455609,0.08782377399427899,False,Not significant,high
Ukraine,Russian invasion begins,2022-02-24,0,0.5098186197762201,0.009230286737399397,True,Edits spike ON event day,high
Ukraine,Russian invasion begins,2022-02-24,1,0.3559226410455609,0.08782377399427899,False,Not significant,high
Ukraine,Russian invasion begins,2022-02-24,2,0.4862598051770691,0.018639211430971997,True,Edits spike 2 days AFTER event (reaction),high
Ukraine,Russian invasion begins,2022-02-24,3,0.015269495105603586,0.9462288162566808,False,Not significant,high
Ukraine,Russian invasion begins,2022-02-24,4,0.006520044632031621,0.9776229232673072,False,Not significant,high
Ukraine,Russian invasion begins,2022-02-24,5,0.09307756625182766,0.6963130835801654,False,Not significant,high
Ukraine,Mobilization announced,2022-09-21,-5,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Mobilization announced,2022-09-21,-4,-0.23269189086526004,0.44424754599126676,False,Not significant,medium
Ukraine,Mobilization announced,2022-09-21,-3,0.5210501057189062,0.05605889215963733,False,Not significant,medium
Ukraine,Mobilization announced,2022-09-21,-2,-0.21008772061349149,0.4523362850034645,False,Not significant,medium
Ukraine,Mobilization announced,2022-09-21,-1,-0.07416569324833078,0.7848735090387904,False,Not significant,medium
Ukraine,Mobilization announced,2022-09-21,0,0.054840849710708184,0.8344108799148616,False,Not significant,medium
Ukraine,Mobilization announced,2022-09-21,1,-0.07416569324833078,0.7848735090387904,False,Not significant,medium
Ukraine,Mobilization announced,2022-09-21,2,-0.21008772061349149,0.4523362850034645,False,Not significant,medium
Ukraine,Mobilization announced,2022-09-21,3,0.5210501057189062,0.05605889215963733,False,Not significant,medium
Ukraine,Mobilization announced,2022-09-21,4,-0.23269189086526004,0.44424754599126676,False,Not significant,medium
Ukraine,Mobilization announced,2022-09-21,5,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,-5,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,-4,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,-3,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,-2,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,-1,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,0,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,1,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,2,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,3,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,4,,,False,Negative correlation (edits decrease around event),medium
Ukraine,Kakhovka dam destroyed,2023-06-06,5,,,False,Negative correlation (edits decrease around event),medium
ChatGPT,GPT-4 released,2023-03-14,-5,0.027910558674687957,0.8878837677610716,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,-4,-0.15248485885103613,0.4297205353785037,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,-3,0.223580921825834,0.23496128617078482,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,-2,-0.09211471421360252,0.6221207378063406,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,-1,0.22348060854961907,0.2188758149058826,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,0,-0.1864238564123799,0.29891081098447164,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,1,0.22348060854961907,0.2188758149058826,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,2,-0.09211471421360252,0.6221207378063406,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,3,0.223580921825834,0.23496128617078482,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,4,-0.15248485885103613,0.4297205353785037,False,Not significant,high
ChatGPT,GPT-4 released,2023-03-14,5,0.027910558674687957,0.8878837677610716,False,Not significant,high
